title,dosage_form,manufacturer,strength,price,url
Afun VT,Vaginal Tablet,Square Pharmaceuticals Ltd.,200 mg,Unit Price : ৳ 20.06,https://medex.com.bd/brands/12408/afun-vt-200mg
Afuvin,Tablet,Ambee Pharmaceuticals Ltd.,500 mg,Unit Price : ৳ 5.32,https://medex.com.bd/brands/28011/afuvin-500mg
Age M,Tablet,Mystic Pharmaceuticals Ltd.,6 mg+200 mg+50 mg,Unit Price : ৳ 2.53,https://medex.com.bd/brands/14009/age-m-6mg
Age Plus,Tablet,Mystic Pharmaceuticals Ltd.,,Unit Price : ৳ 3.75,https://medex.com.bd/brands/14721/age-plus
Agedefy,Tablet,Medimet Pharmaceuticals Ltd.,6 mg+200 mg+50 mg,Unit Price : ৳ 2.50,https://medex.com.bd/brands/14008/agedefy-6mg
Agerd,Capsule,Hamdard Bangladesh,,Unit Price : ৳ 3.00,https://medex.com.bd/brands/29642/agerd
Aggra,Tablet,Eskayef Pharmaceuticals Ltd.,100 mg,Unit Price : ৳ 50.00,https://medex.com.bd/brands/5999/aggra-100mg
Aggra,Tablet,Eskayef Pharmaceuticals Ltd.,50 mg,Unit Price : ৳ 30.00,https://medex.com.bd/brands/5998/aggra-50mg
Aggreno,Capsule (Extended Release),Ziska Pharmaceuticals Ltd.,25 mg+200 mg,Unit Price : ৳ 12.00,https://medex.com.bd/brands/17938/aggreno-25mg
Aglip,Tablet,Eskayef Pharmaceuticals Ltd.,25 mg,Unit Price : ৳ 22.00,https://medex.com.bd/brands/30989/aglip-25mg
Aglip,Tablet,Eskayef Pharmaceuticals Ltd.,12.5 mg,Unit Price : ৳ 12.00,https://medex.com.bd/brands/30988/aglip-125mg
Agorest,Tablet,Everest Pharmaceuticals Ltd.,25 mg,Unit Price : ৳ 35.00,https://medex.com.bd/brands/31997/agorest-25mg
Agotin,Tablet,Beacon Pharmaceuticals Ltd.,25 mg,Unit Price : ৳ 50.15,https://medex.com.bd/brands/413/agotin-25mg
Agoxin,Tablet,Aristopharma Ltd.,0.25 mg,Unit Price : ৳ 1.09,https://medex.com.bd/brands/2453/agoxin-025mg
Agrippal S1,IM Injection,Novartis (Bangladesh) Ltd.,0.5 ml/prefilled syringe,"0.5 ml pre-filled syringe :
            
                                    ৳ 650.00",https://medex.com.bd/brands/16550/agrippal-s1-05ml
AH,Oral Suspension,Drug International Ltd.,200 mg/5 ml,"10 ml bottle :
            
                                    ৳ 20.10",https://medex.com.bd/brands/25461/ah-200mg
AH,Chewable Tablet,Drug International Ltd.,400 mg,Unit Price : ৳ 5.00,https://medex.com.bd/brands/25460/ah-400mg
Aid,Tablet,Premier Pharmaceuticals Ltd.,50 mg,Unit Price : ৳ 0.80,https://medex.com.bd/brands/27401/aid-50mg
Aid SR,Tablet (Sustained Release),Premier Pharmaceuticals Ltd.,100 mg,Unit Price : ৳ 3.00,https://medex.com.bd/brands/27433/aid-sr-100mg
Aid TR,Capsule (Timed Release),Premier Pharmaceuticals Ltd.,100 mg,Unit Price : ৳ 3.00,https://medex.com.bd/brands/27400/aid-tr-100mg
Aire,Tablet,Delta Pharma Ltd.,1 mg,Unit Price : ৳ 0.90,https://medex.com.bd/brands/27758/aire-1mg
Aire,Tablet,Delta Pharma Ltd.,2 mg,Unit Price : ৳ 1.70,https://medex.com.bd/brands/27759/aire-2mg
Airnaaf,Syrup,Naafco Pharma Ltd.,1 mg/5 ml,"100 ml bottle :
            
                                    ৳ 50.00",https://medex.com.bd/brands/21316/airnaaf-1mg
Airpro,Syrup,Everest Pharmaceuticals Ltd.,1 mg/5 ml,"100 ml bottle :
            
                                    ৳ 45.00",https://medex.com.bd/brands/30889/airpro-1mg
Airup,Chewable Tablet,Pharmasia Limited,5 mg,Unit Price : ৳ 8.00,https://medex.com.bd/brands/26990/airup-5mg
Airup,Tablet,Pharmasia Limited,10 mg,Unit Price : ৳ 10.00,https://medex.com.bd/brands/3804/airup-10mg
Airup,Tablet,Pharmasia Limited,5 mg,Unit Price : ৳ 7.50,https://medex.com.bd/brands/3803/airup-5mg
Airway,Tablet,One Pharma Ltd.,4 mg,Unit Price : ৳ 6.00,https://medex.com.bd/brands/27988/airway-4mg
Airway,Tablet,One Pharma Ltd.,5 mg,Unit Price : ৳ 8.00,https://medex.com.bd/brands/22627/airway-5mg
Airway,Tablet,One Pharma Ltd.,10 mg,Unit Price : ৳ 15.00,https://medex.com.bd/brands/22628/airway-10mg
Ajardy,Tablet,Ziska Pharmaceuticals Ltd.,10 mg,Unit Price : ৳ 25.00,https://medex.com.bd/brands/30904/ajardy-10mg
Ajardy,Tablet,Ziska Pharmaceuticals Ltd.,25 mg,Unit Price : ৳ 40.00,https://medex.com.bd/brands/30905/ajardy-25mg
Ajardy M,Tablet,Ziska Pharmaceuticals Ltd.,5 mg+500 mg,Unit Price : ৳ 15.00,https://medex.com.bd/brands/30906/ajardy-m-5mg
Aject DS Vet,Injection,Eskayef Pharmaceuticals Ltd.,2 gm/10 ml,"10 ml vial :
            
                                    ৳ 100.00",https://medex.com.bd/brands/31785/aject-ds-vet-2gm
Aject Vet,Injection,Eskayef Pharmaceuticals Ltd.,1 gm/10 ml,"1 gm vial :
            
                                    ৳ 67.00",https://medex.com.bd/brands/31786/aject-vet-1gm
Akarvia,Tablet,Incepta Pharmaceuticals Ltd.,200 mg,Unit Price : ৳ 400.00,https://medex.com.bd/brands/28327/akarvia-200mg
Akicin,IM/IV Injection,Square Pharmaceuticals Ltd.,100 mg/2 ml,"2 ml ampoule :
            
                                    ৳ 16.05",https://medex.com.bd/brands/31608/akicin-100mg
Akicin,IM/IV Injection,Square Pharmaceuticals Ltd.,500 mg/2 ml,"2 ml ampoule :
            
                                    ৳ 48.14",https://medex.com.bd/brands/574/akicin-500mg
Aknill,Topical Gel,Incepta Pharmaceuticals Ltd.,0.05%,"20 gm tube :
            
                                    ৳ 130.00",https://medex.com.bd/brands/21153/aknill-005
Aktivex,Tablet,Opso Saline Ltd.,250 mg,Unit Price : ৳ 5.00,https://medex.com.bd/brands/27698/aktivex-250mg
Aktivex,Tablet,Opso Saline Ltd.,500 mg,Unit Price : ৳ 9.00,https://medex.com.bd/brands/22755/aktivex-500mg
AL-DS,Chewable Tablet,Globe Pharmaceuticals Ltd.,400 mg,Unit Price : ৳ 5.00,https://medex.com.bd/brands/250/al-ds-400mg
Alaclov,Tablet,ACI Limited,500 mg,Unit Price : ৳ 40.27,https://medex.com.bd/brands/9715/alaclov-500mg
Alacot,Ophthalmic Solution,Square Pharmaceuticals Ltd.,0.1%,"5 ml drop :
            
                                    ৳ 110.34",https://medex.com.bd/brands/15972/alacot-01
Alacot DS,Ophthalmic Solution,Square Pharmaceuticals Ltd.,0.2%,"5 ml drop :
            
                                    ৳ 175.00",https://medex.com.bd/brands/15973/alacot-ds-02
Alacot Max,Ophthalmic Solution,Square Pharmaceuticals Ltd.,0.7%,"5 ml drop :
            
                                    ৳ 230.00",https://medex.com.bd/brands/27495/alacot-max-07
Aladay,Ophthalmic Solution,Eskayef Pharmaceuticals Ltd.,0.1%,"5 ml drop :
            
                                    ৳ 110.00",https://medex.com.bd/brands/15974/aladay-01
Aladay DS,Ophthalmic Solution,Eskayef Pharmaceuticals Ltd.,0.2%,"5 ml drop :
            
                                    ৳ 160.00",https://medex.com.bd/brands/15975/aladay-ds-02
Aladay Max,Ophthalmic Solution,Eskayef Pharmaceuticals Ltd.,0.7%,"5 ml drop :
            
                                    ৳ 250.00",https://medex.com.bd/brands/29404/aladay-max-07
Alafree,Tablet,Apex Pharmaceuticals Ltd.,120 mg,Unit Price : ৳ 6.50,https://medex.com.bd/brands/12055/alafree-120mg
Alafree,Oral Suspension,Apex Pharmaceuticals Ltd.,30 mg/5 ml,"50 ml bottle :
            
                                    ৳ 48.00",https://medex.com.bd/brands/20332/alafree-30mg
Alagra,Tablet,Alco Pharma Ltd.,60 mg,Unit Price : ৳ 3.51,https://medex.com.bd/brands/27838/alagra-60mg
Alagra,Oral Suspension,Alco Pharma Ltd.,30 mg/5 ml,"50 ml bottle :
            
                                    ৳ 48.14",https://medex.com.bd/brands/12061/alagra-30mg
Alagra,Tablet,Alco Pharma Ltd.,180 mg,Unit Price : ৳ 8.53,https://medex.com.bd/brands/12060/alagra-180mg
Alagra,Tablet,Alco Pharma Ltd.,120 mg,Unit Price : ৳ 6.02,https://medex.com.bd/brands/12059/alagra-120mg
Alagra,Tablet,Alco Pharma Ltd.,30 mg,Unit Price : ৳ 3.01,https://medex.com.bd/brands/12057/alagra-30mg
Alanil,Oral Suspension,ACME Laboratories Ltd.,30 mg/5 ml,"50 ml bottle :
            
                                    ৳ 48.14",https://medex.com.bd/brands/12064/alanil-30mg
Alanil,Tablet,ACME Laboratories Ltd.,180 mg,Unit Price : ৳ 10.00,https://medex.com.bd/brands/12063/alanil-180mg
Alanil,Tablet,ACME Laboratories Ltd.,120 mg,Unit Price : ৳ 8.00,https://medex.com.bd/brands/12062/alanil-120mg
Alargol,Syrup,Ethical Drug Ltd.,5 mg/5 ml,"60 ml bottle :
            
                                    ৳ 25.00",https://medex.com.bd/brands/19143/alargol-5mg
Alargol,Tablet,Ethical Drug Ltd.,10 mg,Unit Price : ৳ 2.50,https://medex.com.bd/brands/19144/alargol-10mg
Alarid,Syrup,Square Pharmaceuticals Ltd.,1 mg/5 ml,"100 ml bottle :
            
                                    ৳ 55.00",https://medex.com.bd/brands/3712/alarid-1mg
Alarid,Tablet,Square Pharmaceuticals Ltd.,1 mg,Unit Price : ৳ 2.50,https://medex.com.bd/brands/3711/alarid-1mg
Alarid,Ophthalmic Solution,Square Pharmaceuticals Ltd.,0.025%,"5 ml drop :
            
                                    ৳ 100.30",https://medex.com.bd/brands/15944/alarid-0025
Alaron,Oral Suspension,ACI Limited,5 mg/5 ml,"60 ml bottle :
            
                                    ৳ 30.20",https://medex.com.bd/brands/32197/alaron-5mg
Alaron,Tablet,ACI Limited,10 mg,Unit Price : ৳ 2.50,https://medex.com.bd/brands/12185/alaron-10mg
Alartn,Syrup,Alkad Laboratories,5 mg/5 ml,"60 ml bottle :
            
                                    ৳ 30.00",https://medex.com.bd/brands/19129/alartn-5mg
Alarup,Tablet,Popular Pharmaceuticals Ltd.,10 mg,Unit Price : ৳ 10.00,https://medex.com.bd/brands/12905/alarup-10mg
Alarvet,Oral Solution,Popular Pharmaceuticals Ltd.,22.75 mg/ml,"10 ml vial :
            
                                    ৳ 11.90",https://medex.com.bd/brands/31665/alarvet-2275mg
Alat,Tablet,Premier Pharmaceuticals Ltd.,10 mg,Unit Price : ৳ 2.50,https://medex.com.bd/brands/12008/alat-10mg
Alater,Tablet,Bengal drugs Ltd.,10 mg,Unit Price : ৳ 2.50,https://medex.com.bd/brands/12014/alater-10mg
Alatin,Tablet,Concord Pharmaceuticals Ltd.,10 mg,Unit Price : ৳ 2.01,https://medex.com.bd/brands/11913/alatin-10mg
Alatrol,Tablet,Square Pharmaceuticals Ltd.,10 mg,Unit Price : ৳ 3.01,https://medex.com.bd/brands/11914/alatrol-10mg
Alatrol,Syrup,Square Pharmaceuticals Ltd.,5 mg/5 ml,"60 ml bottle :
            
                                    ৳ 30.10",https://medex.com.bd/brands/11915/alatrol-5mg
Alatrol,Pediatric Drops,Square Pharmaceuticals Ltd.,2.5 mg/ml,"15 ml bottle :
            
                                    ৳ 25.08",https://medex.com.bd/brands/19173/alatrol-25mg
Alaxen,Tablet,United Pharmaceuticals Ltd.,0.5 mg,Unit Price : ৳ 3.00,https://medex.com.bd/brands/17499/alaxen-05mg
Alaxen,Tablet,United Pharmaceuticals Ltd.,0.25 mg,Unit Price : ৳ 2.00,https://medex.com.bd/brands/17498/alaxen-025mg
Alba,Chewable Tablet,Navana Pharmaceuticals Ltd.,400 mg,Unit Price : ৳ 4.50,https://medex.com.bd/brands/252/alba-400mg
Albafen,Tablet,Allied Pharmaceuticals Ltd.,10 mg,Unit Price : ৳ 8.00,https://medex.com.bd/brands/18066/albafen-10mg
Albamax DS,Chewable Tablet,Ziska Pharmaceuticals Ltd.,400 mg,Unit Price : ৳ 2.82,https://medex.com.bd/brands/253/albamax-ds-400mg
Albaplex,Syrup,Aexim Pharmaceuticals Ltd.,,"100 ml bottle :
            
                                    ৳ 20.60",https://medex.com.bd/brands/13873/albaplex
Albasine,Tablet,Drug International Ltd.,30 mg+10 mg,Unit Price : ৳ 12.00,https://medex.com.bd/brands/442/albasine-30mg
Albatab,Tablet,Aexim Pharmaceuticals Ltd.,,Unit Price : ৳ 0.44,https://medex.com.bd/brands/13874/albatab
Albazol DS,Chewable Tablet,Central Pharmaceuticals Ltd.,400 mg,Unit Price : ৳ 4.00,https://medex.com.bd/brands/254/albazol-ds-400mg
Alben,Oral Suspension,Eskayef Pharmaceuticals Ltd.,200 mg/5 ml,"10 ml bottle :
            
                                    ৳ 20.00",https://medex.com.bd/brands/255/alben-200mg
Alben DS,Chewable Tablet,Eskayef Pharmaceuticals Ltd.,400 mg,Unit Price : ৳ 5.00,https://medex.com.bd/brands/256/alben-ds-400mg
Alben Vet,Bolus Tablet,Eskayef Pharmaceuticals Ltd.,600 mg,Unit Price : ৳ 7.67,https://medex.com.bd/brands/31787/alben-vet-600mg
Alben Vet,Oral Suspension,Eskayef Pharmaceuticals Ltd.,10%,"20 ml bottle :
            
                                    ৳ 55.00",https://medex.com.bd/brands/31788/alben-vet-10
Albencid,Bolus Tablet,Chemist Laboratories  Ltd.,600 mg,Unit Price : ৳ 8.00,https://medex.com.bd/brands/32055/albencid-600mg
Albenda DS,Chewable Tablet,Aexim Pharmaceuticals Ltd.,400 mg,Unit Price : ৳ 3.40,https://medex.com.bd/brands/257/albenda-ds-400mg
Albendol,Chewable Tablet,Globex Pharmaceuticals Ltd.,400 mg,Unit Price : ৳ 3.50,https://medex.com.bd/brands/260/albendol-400mg
Albendol,Oral Suspension,Globex Pharmaceuticals Ltd.,200 mg/5 ml,"10 ml bottle :
            
                                    ৳ 15.00",https://medex.com.bd/brands/261/albendol-200mg
Albendox,Chewable Tablet,Indo Bangla Pharmaceutical,400 mg,Unit Price : ৳ 4.00,https://medex.com.bd/brands/262/albendox-400mg
Albentas,Chewable Tablet,Veritas Pharmaceuticals Ltd.,400 mg,Unit Price : ৳ 5.00,https://medex.com.bd/brands/25491/albentas-400mg
Albezen,Chewable Tablet,Zenith Pharmaceuticals Ltd.,400 mg,Unit Price : ৳ 3.00,https://medex.com.bd/brands/263/albezen-400mg
Albezole,Chewable Tablet,Apollo Pharmaceutical Ltd.,400 mg,Unit Price : ৳ 3.80,https://medex.com.bd/brands/10347/albezole-400mg
Albol-DS,Chewable Tablet,Ethical Drug Ltd.,400 mg,Unit Price : ৳ 3.50,https://medex.com.bd/brands/25465/albol-ds-400mg
Albrex,Chewable Tablet,Medimet Pharmaceuticals Ltd.,400 mg,Unit Price : ৳ 3.50,https://medex.com.bd/brands/268/albrex-400mg
Albumin Human,IV Infusion,Octapharma Pharmazeutica,20%,"50 ml bottle :
            
                                    ৳ 3,609.00",https://medex.com.bd/brands/416/albumin-human-20
Albutein,IV Infusion,Alpha Therapeutic Corporation,5%,"250 ml bottle :
            
                                    ৳ 3,800.00",https://medex.com.bd/brands/14907/albutein-5
Albutein,IV Infusion,Alpha Therapeutic Corporation,25%,"50 ml bottle :
            
                                    ৳ 3,700.00",https://medex.com.bd/brands/16528/albutein-25
Albutein,IV Infusion,Grifols Biologicals LLC,5%,"250 ml bottle :
            
                                    ৳ 3,800.00",https://medex.com.bd/brands/414/albutein-5
Alcadin,Ophthalmic Solution,Popular Pharmaceuticals Ltd.,0.25%,"5 ml drop :
            
                                    ৳ 400.00",https://medex.com.bd/brands/347/alcadin-025
Alcafta,Ophthalmic Solution,Incepta Pharmaceuticals Ltd.,0.25%,"5 ml drop :
            
                                    ৳ 400.00",https://medex.com.bd/brands/348/alcafta-025
Alcavir,Tablet,Innova Pharma (Albion),0.5 mg,Unit Price : ৳ 53.13,https://medex.com.bd/brands/27197/alcavir-05mg
Alcefen,Tablet,Allied Pharmaceuticals Ltd.,100 mg,Unit Price : ৳ 4.00,https://medex.com.bd/brands/17366/alcefen-100mg
Alcet,Tablet,Healthcare Pharmaceuticals Ltd.,5 mg,Unit Price : ৳ 4.50,https://medex.com.bd/brands/12155/alcet-5mg
Alcet,Oral Solution,Healthcare Pharmaceuticals Ltd.,2.5 mg/5 ml,"60 ml bottle :
            
                                    ৳ 50.00",https://medex.com.bd/brands/12156/alcet-25mg
Alchek,Ophthalmic Solution,Apex Pharmaceuticals Ltd.,0.1%,"5 ml drop :
            
                                    ৳ 100.00",https://medex.com.bd/brands/15976/alchek-01
Alchek DS,Ophthalmic Solution,Apex Pharmaceuticals Ltd.,0.2%,"5 ml drop :
            
                                    ৳ 150.08",https://medex.com.bd/brands/22988/alchek-ds-02
Alclor,Capsule,ACME Laboratories Ltd.,500 mg,Unit Price : ৳ 40.12,https://medex.com.bd/brands/7100/alclor-500mg
Alclor,Powder for Suspension,ACME Laboratories Ltd.,125 mg/5 ml,"100 ml bottle :
            
                                    ৳ 190.58",https://medex.com.bd/brands/7101/alclor-125mg
Alclor,Pediatric Drops,ACME Laboratories Ltd.,125 mg/1.25 ml,"15 ml bottle :
            
                                    ৳ 125.37",https://medex.com.bd/brands/7102/alclor-125mg
Alcofen,Tablet,Aexim Pharmaceuticals Ltd.,50 mg,Unit Price : ৳ 0.70,https://medex.com.bd/brands/10936/alcofen-50mg
Alcofen SR,Capsule (Sustained Release),Aexim Pharmaceuticals Ltd.,100 mg,Unit Price : ৳ 1.50,https://medex.com.bd/brands/10937/alcofen-sr-100mg
Alconil,Mouthwash,Ziska Pharmaceuticals Ltd.,,"120 ml bottle :
            
                                    ৳ 85.00",https://medex.com.bd/brands/20142/alconil
Alcot,Tablet,Pacific Pharmaceuticals Ltd.,800 mg+160 mg,Unit Price : ৳ 2.00,https://medex.com.bd/brands/29873/alcot-800mg
Alcot,Tablet,Pacific Pharmaceuticals Ltd.,400 mg+80 mg,Unit Price : ৳ 1.00,https://medex.com.bd/brands/8985/alcot-400mg
Alcot,Oral Suspension,Pacific Pharmaceuticals Ltd.,(200 mg+40 mg)/5 ml,"60 ml bottle :
            
                                    ৳ 20.00",https://medex.com.bd/brands/8987/alcot-200mg
Alda,Oral Suspension,Supreme Pharmaceutical Ltd.,200 mg/5 ml,"10 ml bottle :
            
                                    ৳ 15.00",https://medex.com.bd/brands/269/alda-200mg
Alda DS,Chewable Tablet,Supreme Pharmaceutical Ltd.,400 mg,Unit Price : ৳ 4.00,https://medex.com.bd/brands/270/alda-ds-400mg
Aldaben,Oral Suspension,Ad-din Pharmaceuticals Ltd.,200 mg/5 ml,"10 ml bottle :
            
                                    ৳ 15.00",https://medex.com.bd/brands/271/aldaben-200mg
Aldaben-DS,Chewable Tablet,Ad-din Pharmaceuticals Ltd.,400 mg,Unit Price : ৳ 4.00,https://medex.com.bd/brands/272/aldaben-ds-400mg
Aldazole,Bolus Tablet,Techno Drugs Ltd.,600 mg,Unit Price : ৳ 7.03,https://medex.com.bd/brands/32113/aldazole-600mg
Aldes,Oral Suspension,Desh Pharmaceuticals Ltd.,200 mg/5 ml,"10 ml bottle :
            
                                    ৳ 15.00",https://medex.com.bd/brands/273/aldes-200mg
Aldes DS,Chewable Tablet,Desh Pharmaceuticals Ltd.,400 mg,Unit Price : ৳ 4.00,https://medex.com.bd/brands/274/aldes-ds-400mg
Aldew,Chewable Tablet,Doctor’s Chemical Works Ltd.,400 mg,Unit Price : ৳ 4.00,https://medex.com.bd/brands/275/aldew-400mg
Aldex,Oral Suspension,Gaco Pharmaceuticals Ltd.,200 mg/5 ml,"10 ml bottle :
            
                                    ৳ 15.04",https://medex.com.bd/brands/276/aldex-200mg
Aldex-DS,Chewable Tablet,Gaco Pharmaceuticals Ltd.,400 mg,Unit Price : ৳ 4.02,https://medex.com.bd/brands/277/aldex-ds-400mg
Aldin DS,Chewable Tablet,Techno Drugs Ltd.,400 mg,Unit Price : ৳ 4.00,https://medex.com.bd/brands/278/aldin-ds-400mg
Aldocort,Tablet,Incepta Pharmaceuticals Ltd.,0.10 mg,Unit Price : ৳ 10.00,https://medex.com.bd/brands/26052/aldocort-010mg
Aldonist,Tablet,D16 Pharma & Biotec,50 mg,Unit Price : ৳ 85.00,https://medex.com.bd/brands/2855/aldonist-50mg
Aldonist,Tablet,D16 Pharma & Biotec,25 mg,Unit Price : ৳ 45.00,https://medex.com.bd/brands/2854/aldonist-25mg
Aldopa,Tablet,Innova Pharma (Albion),100 mg+10 mg,Unit Price : ৳ 8.26,https://medex.com.bd/brands/21489/aldopa-100mg
Aldopa,Tablet,Innova Pharma (Albion),250 mg+25 mg,Unit Price : ৳ 11.81,https://medex.com.bd/brands/21490/aldopa-250mg
Aldorin,Tablet,Eskayef Pharmaceuticals Ltd.,50 mg,Unit Price : ৳ 10.00,https://medex.com.bd/brands/5725/aldorin-50mg
Ale DS,Chewable Tablet,Aztec Pharmaceuticals Ltd.,400 mg,Unit Price : ৳ 4.00,https://medex.com.bd/brands/25455/ale-ds-400mg
Alecensa,Capsule,Roche Bangladesh Ltd.,150 mg,"Unit Price : ৳ 1,480.00",https://medex.com.bd/brands/27606/alecensa-150mg
Alendon,Tablet,Beximco Pharmaceuticals Ltd.,70 mg,Unit Price : ৳ 25.00,https://medex.com.bd/brands/30519/alendon-70mg
Alendon,Tablet,Beximco Pharmaceuticals Ltd.,10 mg,Unit Price : ৳ 5.00,https://medex.com.bd/brands/30518/alendon-10mg
Alenvir,Tablet,Square Pharmaceuticals Ltd.,25 mg,Unit Price : ৳ 90.00,https://medex.com.bd/brands/29031/alenvir-25mg
Alercon,Ophthalmic Solution,ACME Laboratories Ltd.,0.1%,"5 ml drop :
            
                                    ৳ 100.30",https://medex.com.bd/brands/15977/alercon-01
Alercon,Nasal Spray,ACME Laboratories Ltd.,600 mcg/spray,"120 metered sprays :
            
                                    ৳ 401.20",https://medex.com.bd/brands/16250/alercon-600mcg
Alercon DS,Ophthalmic Solution,ACME Laboratories Ltd.,0.2%,"5 ml drop :
            
                                    ৳ 150.44",https://medex.com.bd/brands/22987/alercon-ds-02
Alerest,Tablet,Veritas Pharmaceuticals Ltd.,4 mg,Unit Price : ৳ 0.29,https://medex.com.bd/brands/19294/alerest-4mg
Alerfast,Tablet,Biopharma Laboratories Ltd.,120 mg,Unit Price : ৳ 7.00,https://medex.com.bd/brands/12065/alerfast-120mg
Alerfast,Oral Suspension,Biopharma Laboratories Ltd.,30 mg/5 ml,"50 ml bottle :
            
                                    ৳ 48.00",https://medex.com.bd/brands/28883/alerfast-30mg
Alerfex,Tablet,Kumudini Pharma Ltd.,120 mg,Unit Price : ৳ 6.50,https://medex.com.bd/brands/12066/alerfex-120mg
Alerfex,Oral Suspension,Kumudini Pharma Ltd.,30 mg/5 ml,"50 ml bottle :
            
                                    ৳ 48.00",https://medex.com.bd/brands/12067/alerfex-30mg
Alergix MR,Tablet (Modified Release),Incepta Pharmaceuticals Ltd.,10 mg,Unit Price : ৳ 6.50,https://medex.com.bd/brands/31137/alergix-mr-10mg
Alerin,IM/IV Injection,Eskayef Pharmaceuticals Ltd.,22.75 mg/ml,"100 mg vial :
            
                                    ৳ 110.33",https://medex.com.bd/brands/31789/alerin-2275mg
Alerjess,Syrup,Ad-din Pharmaceuticals Ltd.,2 mg/5 ml,"100 ml bottle :
            
                                    ৳ 20.00",https://medex.com.bd/brands/11800/alerjess-2mg
Alerjess,Tablet,Ad-din Pharmaceuticals Ltd.,4 mg,Unit Price : ৳ 0.20,https://medex.com.bd/brands/11799/alerjess-4mg
Alermet,Tablet,Orbit Pharmaceuticals Ltd.,10 mg,Unit Price : ৳ 2.50,https://medex.com.bd/brands/19160/alermet-10mg
Alermet,Syrup,Orbit Pharmaceuticals Ltd.,5 mg/5 ml,"60 ml bottle :
            
                                    ৳ 16.00",https://medex.com.bd/brands/19159/alermet-5mg
Alert,Tablet,Apollo Pharmaceutical Ltd.,10 mg,Unit Price : ৳ 2.73,https://medex.com.bd/brands/12187/alert-10mg
Alertadin,Tablet,Beacon Pharmaceuticals Ltd.,5 mg,Unit Price : ৳ 2.51,https://medex.com.bd/brands/12228/alertadin-5mg
Alervil,Syrup,Incepta Pharmaceuticals Ltd.,15 mg/5 ml,"75 ml bottle :
            
                                    ৳ 25.00",https://medex.com.bd/brands/11900/alervil-15mg
Alestin,Syrup,Novelta Bestway Pharma Ltd.,5 mg/5 ml,"50 ml bottle :
            
                                    ৳ 80.00",https://medex.com.bd/brands/12029/alestin-5mg
Alestin,Tablet,Novelta Bestway Pharma Ltd.,10 mg,Unit Price : ৳ 6.00,https://medex.com.bd/brands/12028/alestin-10mg
Alestor,Tablet,Incepta Pharmaceuticals Ltd.,5 mg,Unit Price : ৳ 8.00,https://medex.com.bd/brands/25930/alestor-5mg
Aletrin,Tablet,Reman Drug Laboratories Ltd.,10 mg,Unit Price : ৳ 2.50,https://medex.com.bd/brands/11916/aletrin-10mg
Alexa,SC Injection,Healthcare Pharmaceuticals Ltd.,4000 Anti-Xa IU/0.4 ml,"0.4 ml pre-filled syringe :
            
                                    ৳ 425.00",https://medex.com.bd/brands/19970/alexa-4000anti-xa
Alexa,SC Injection,Healthcare Pharmaceuticals Ltd.,8000 Anti-Xa IU/0.8 ml,"0.8 ml pre-filled syringe :
            
                                    ৳ 725.00",https://medex.com.bd/brands/19972/alexa-8000anti-xa
Alexa,SC Injection,Healthcare Pharmaceuticals Ltd.,6000 Anti-Xa IU/0.6 ml,"0.6 ml pre-filled syringe :
            
                                    ৳ 600.00",https://medex.com.bd/brands/19971/alexa-6000anti-xa
Alexid,Tablet,Aristopharma Ltd.,200 mg,Unit Price : ৳ 15.00,https://medex.com.bd/brands/6681/alexid-200mg
Aleze,Tablet,UniMed UniHealth,10 mg,Unit Price : ৳ 2.50,https://medex.com.bd/brands/12188/aleze-10mg
Aleze,Oral Suspension,UniMed UniHealth,5 mg/5 ml,"60 ml bottle :
            
                                    ৳ 26.00",https://medex.com.bd/brands/12189/aleze-5mg
Alfa-E,Chewable Tablet,Aristopharma Ltd.,200 mg,Unit Price : ৳ 5.00,https://medex.com.bd/brands/13947/alfa-e-200mg
Alfacort,IM/IA Injection,Ziska Pharmaceuticals Ltd.,40 mg/ml,"1 ml vial :
            
                                    ৳ 60.00",https://medex.com.bd/brands/3887/alfacort-40mg
Alfasin XR,Tablet (Extended Release),Incepta Pharmaceuticals Ltd.,10 mg,Unit Price : ৳ 10.00,https://medex.com.bd/brands/15573/alfasin-xr-10mg
Alfavir,Tablet,Incepta Pharmaceuticals Ltd.,25 mg,Unit Price : ৳ 90.00,https://medex.com.bd/brands/27584/alfavir-25mg
Alfex,Tablet,Medicon Pharmaceuticals Ltd.,120 mg,Unit Price : ৳ 6.44,https://medex.com.bd/brands/12068/alfex-120mg
Alfex,Oral Suspension,Medicon Pharmaceuticals Ltd.,30 mg/5 ml,"50 ml bottle :
            
                                    ৳ 43.18",https://medex.com.bd/brands/12069/alfex-30mg
Alfil,Capsule,Marker Pharma Ltd.,,Unit Price : ৳ 3.00,https://medex.com.bd/brands/13224/alfil
Alfixim,Capsule,Allied Pharmaceuticals Ltd.,200 mg,Unit Price : ৳ 35.00,https://medex.com.bd/brands/17140/alfixim-200mg
Alfixim,Capsule,Allied Pharmaceuticals Ltd.,400 mg,Unit Price : ৳ 50.00,https://medex.com.bd/brands/17141/alfixim-400mg
Alfixim,Powder for Suspension,Allied Pharmaceuticals Ltd.,100 mg/5 ml,"50 ml bottle :
            
                                    ৳ 195.00",https://medex.com.bd/brands/17142/alfixim-100mg
